Time,X_inner,Y_inner,Z_inner,X_outer,Y_outer,Z_outer,X_target,Y_target,Z_target,Force
0.01,-0.9895547214260416,0.0,1.9882840618190782,-0.9895547214260368,-1.1102230246251566e-17,1.9882840618190685,-2.0,4.0,45.5,0.0
0.02,-0.9898140216593778,0.0,1.9886428495045931,-0.9898140216593735,-1.1102230246251566e-17,1.9886428495045838,-2.0,4.0,45.5,0.0
0.03,-0.9900609743077357,0.0,1.988984543452239,-0.9900609743077318,-1.1102230246251566e-17,1.9889845434522306,-2.0,4.0,45.5,0.0
0.04,-0.9902961673486926,0.0,1.9893099584550313,-0.9902961673486883,-1.1102230246251566e-17,1.9893099584550242,-2.0,4.0,45.5,0.0
0.05,-0.9905201607610047,0.0,1.9896198704307464,-0.9905201607610014,-1.1102230246251566e-17,1.9896198704307402,-2.0,4.0,45.5,0.0
0.060000000000000005,-0.9907334878578885,0.0,1.9899150182802428,-0.990733487857886,-1.1102230246251566e-17,1.9899150182802372,-2.0,4.0,45.5,0.0
0.07,-0.9909856408578886,1.980432991081255e-06,1.9852360125394675,-0.9909856408578831,1.980432991044445e-06,1.9852360125394597,-2.0,4.0,45.5,0.0
0.08,-0.9912257865944676,3.866558501603809e-06,1.9807798121860312,-0.9912257865944618,3.86655850155293e-06,1.9807798121860223,-2.0,4.0,45.5,0.0
0.09,-0.9914544968394322,5.662867416050054e-06,1.9765358078512296,-0.9914544968394283,5.662867416034168e-06,1.9765358078512218,-2.0,4.0,45.5,0.0
0.09999999999999999,-0.9917152311862664,8.455553074328926e-06,1.9677321716592264,-0.9917152311862637,8.455553074271371e-06,1.9677321716592204,-2.0,4.0,45.5,0.0
0.10999999999999999,-0.9920003843389658,1.1489673999119726e-05,1.954585991121861,-0.9920003843389631,1.1489673999087735e-05,1.9545859911218535,-2.0,4.0,45.5,0.0
0.11999999999999998,-0.9923027061472377,1.4237367941036953e-05,1.9373040139237192,-0.9923027061472341,1.4237367941005718e-05,1.93730401392371,-2.0,4.0,45.5,0.0
0.12999999999999998,-0.9944955664688278,1.1262527870505038e-05,1.6811802423282176,-0.9944955664688215,1.1262527870536942e-05,1.681180242328208,-2.0,4.0,45.5,0.0
0.13999999999999999,-0.9946813497778476,1.5528651414618743e-05,1.6769176083962558,-0.9953719412105577,1.0027028640147151e-05,1.5534549217564937,-2.0,4.0,45.5,0.0
0.15,-0.9948582862792109,1.9591626216223027e-05,1.6728579530603145,-0.9955578143604222,1.1720767612688476e-05,1.5457507209289196,-2.0,4.0,45.5,0.0
0.16,-0.9950267972471518,2.3461125966524725e-05,1.6689916111110377,-0.9957348364174466,1.3333852313257566e-05,1.5384133841992775,-2.0,4.0,45.5,0.0
0.17,-0.9951632641189028,2.971334924867465e-05,1.6700712192916587,-0.9964346955781131,9.428919391263335e-06,1.409677912086315,-2.0,4.0,45.5,0.0
0.18000000000000002,-0.9952932325774256,3.566784716673659e-05,1.6710994149345861,-0.9965850735763864,1.0404445801215356e-05,1.4040583494659247,-2.0,4.0,45.5,0.0
0.19000000000000003,-0.995391361291865,4.4550172783826043e-05,1.6768404726991706,-0.9972083816275331,6.000077020906769e-06,1.2710898824696055,-2.0,4.0,45.5,0.0
0.20000000000000004,-0.9954575480547654,5.691726762753776e-05,1.6870699520453345,-0.9978056209343261,2.1879379192846216e-06,1.1297339599524316,-2.0,4.0,45.5,0.0
0.21000000000000005,-0.9954917092639619,7.335130703955289e-05,1.7017725062423834,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.22000000000000006,-0.9955242437550792,8.900276757520015e-05,1.7157749379229497,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.23000000000000007,-0.9955552289900104,0.00010390891477736725,1.729110586398335,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.24000000000000007,-0.9955467428431797,0.00012443224321022692,1.7465729669392036,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.25000000000000006,-1.0005883662656399,0.00015138135119460141,1.7776492787405929,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.26000000000000006,-1.0052111058194964,0.0001771527885614838,1.807011303852664,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.2700000000000001,-1.010116390320512,0.00021074813424578308,1.8408239732750868,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.2800000000000001,-1.015261319705304,0.0002530679595840637,1.8788413734368539,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.2900000000000001,-1.019925675313472,0.00029364183130062835,1.9147395280404953,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.3000000000000001,-1.0248073950099235,0.0003449251022022161,1.954705799066913,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.3100000000000001,-1.0298747628683942,0.000407833271599741,1.998523700734634,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.3200000000000001,-1.0344136205151346,0.0004682524936332588,2.0398741712314403,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.3300000000000001,-1.0384429681534564,0.0005260271519064471,2.0788583213596272,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.34000000000000014,-1.0399823599963562,0.0005912606004882096,2.1222202216996844,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.35000000000000014,-1.0412774694775002,0.0006532308178165064,2.1634748382123004,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.36000000000000015,-1.042511635166754,0.0007128286586581159,2.202362392540777,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.37000000000000016,-1.0470462543435568,0.0007912148302259541,2.2448146215273614,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.38000000000000017,-1.052469972284053,0.0008822827439253147,2.291469780854836,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.3900000000000002,-1.0587227959373093,0.0009873181929363653,2.342097990807503,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.4000000000000002,-1.0656906614410424,0.0011078543357746413,2.396450120387039,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.4100000000000002,-1.072259234941851,0.0012218533892399894,2.450833381234557,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.4200000000000002,-1.0793923949918223,0.001353249125665752,2.5086530745662623,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.4300000000000002,-1.0855146731177825,0.001478668801798877,2.5629692781470954,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.4400000000000002,-1.0917168046943029,0.001623404384504329,2.6203251723756313,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.45000000000000023,-1.0983408150653602,0.0017892596321481221,2.680839481871171,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.46000000000000024,-1.1052782554165055,0.0019783385980807547,2.744289936380709,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.47000000000000025,-1.1110942618757305,0.002159292946104077,2.8038208077163937,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.48000000000000026,-1.1158646336884277,0.0023317951736315746,2.8596175897786136,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.49000000000000027,-1.1196629634357027,0.0024957476331548727,2.9118592211045033,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.5000000000000002,-1.1231556206704563,0.002685659213165983,2.966730273886138,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.5100000000000002,-1.1270266656141452,0.0029028269939797686,3.024721377254249,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.5200000000000002,-1.130061818703358,0.00310918737573513,3.079097712611463,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.5300000000000002,-1.1332173889860515,0.0033460645330901572,3.1363499311049776,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.5400000000000003,-1.1355944486371055,0.0035709623809079263,3.1900271201704964,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.5500000000000003,-1.1381115141997518,0.003829107175779445,3.246598998171075,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.5600000000000003,-1.1409104425580048,0.004121338727585648,3.3060846746820896,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.5700000000000003,-1.1439212833638384,0.004450075664024376,3.3682933984092585,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.5800000000000003,-1.147076902337941,0.004817860651578413,3.4330423951078286,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.5900000000000003,-1.1454840400846973,0.005183586065228795,3.500656191597145,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.6000000000000003,-1.1437437347861108,0.005535903455856945,3.564119504508635,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.6100000000000003,-1.1418341502585063,0.005874659805214786,3.623605104783552,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.6200000000000003,-1.1397386102394123,0.006199881483717376,3.6792857518462627,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.6300000000000003,-1.137445813570313,0.006511716685313211,3.731333407345679,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.6400000000000003,-1.1349497450559132,0.006810398792017662,3.7799185237532402,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.6500000000000004,-1.1354638980459013,0.007174325153298592,3.8307095677411214,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.6600000000000004,-1.1353657610938959,0.007518919689065749,3.8781753814259,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.6700000000000004,-1.1357459468114723,0.007902385757346128,3.928928600810798,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.6800000000000004,-1.1367364865976342,0.00832524642705568,3.982931586330517,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.6900000000000004,-1.1383449298851875,0.00878907850165853,4.040050675316518,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.7000000000000004,-1.1405298871078364,0.009295945109038454,4.100125473815976,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.7100000000000004,-1.143221681042476,0.009848304745222882,4.162983854836376,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.7200000000000004,-1.1450018024498292,0.010376522720532388,4.2217811647468695,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.7300000000000004,-1.1459439823471191,0.010880775946152435,4.27672957702373,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.7400000000000004,-1.146903258469746,0.011436502459702479,4.334256479439848,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.7500000000000004,-1.1483495022133858,0.012043831247398643,4.394647638475924,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.7600000000000005,-1.1490085824408907,0.012624216592269413,4.4511372413051395,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.7700000000000005,-1.1489448731610379,0.01317814087979485,4.503931514916193,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.7800000000000005,-1.1489899403802448,0.013790836993284476,4.559443789251681,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.7900000000000005,-1.148419230414972,0.01437511304893043,4.611375529519878,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.8000000000000005,-1.147282610543476,0.014931971155713411,4.659916321957877,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.8100000000000005,-1.146405995840663,0.01555254988514467,4.7114828616703734,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.8200000000000005,-1.1460185503838556,0.016235455772085794,4.766185961227671,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.8300000000000005,-1.1460536748437442,0.016983393877200853,4.823843873275674,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.8400000000000005,-1.1454727034475105,0.01769854448401499,4.877837589808485,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.8500000000000005,-1.145117665335622,0.0184866771564375,4.934625910729535,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.8600000000000005,-1.1451083203810277,0.019346370288361926,4.994224290112551,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.8700000000000006,-1.145379203795714,0.020280735763212415,5.056458323283682,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.8800000000000006,-1.1425799518817228,0.021237456007071602,5.121472076959694,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.8900000000000006,-1.1446882755291716,0.022301382953901657,5.188995061753989,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.9000000000000006,-1.1458436768730722,0.023322273495541706,5.252261635959669,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.9100000000000006,-1.1470253970322917,0.02441280256830493,5.3178557798113095,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.9200000000000006,-1.1473852951311654,0.025457087649337264,5.3793056297233965,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.9300000000000006,-1.1469833550656579,0.026456323923654646,5.436817709621479,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.9400000000000006,-1.1458782439858965,0.027411961353239797,5.490590143965886,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.9500000000000006,-1.1441274897246914,0.028325600834275575,5.540813344562707,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.9600000000000006,-1.1417875070697279,0.029198924453611542,5.587670569687273,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.9700000000000006,-1.1395807528317439,0.03014485856985241,5.637471459590725,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.9800000000000006,-1.1380855140840984,0.03116447495478963,5.690573283852386,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
0.9900000000000007,-1.1360621157446262,0.032139368741550954,5.740222102466826,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.0000000000000007,-1.1335567960515718,0.03307150781171416,5.786598913391592,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.0100000000000007,-1.1315165318049305,0.0340822478715669,5.836218064544222,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.0200000000000007,-1.130174773606385,0.035173460080597824,5.889152853247725,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.0300000000000007,-1.1283048877363653,0.0362191605539011,5.93865399822284,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.0400000000000007,-1.1269256772068519,0.037350069403293745,5.991310083744503,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.0500000000000007,-1.1261655201021379,0.038567846439731324,6.047112432209635,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.0600000000000007,-1.1248565453145758,0.039735597412497686,6.099563928668425,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.0700000000000007,-1.123914108264937,0.040996926874989195,6.154960321628602,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.0800000000000007,-1.1224044137882172,0.04220866044344865,6.206804125555149,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.0900000000000007,-1.1212556814842698,0.04351913183501518,6.261619160841078,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.1000000000000008,-1.1195705937485976,0.044778023851840966,6.3129334540511,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.1100000000000008,-1.1173924013207865,0.04598694619858221,6.360930446700347,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.1200000000000008,-1.1147625917317185,0.04714776015378564,6.405785064478343,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.1300000000000008,-1.112422227960082,0.048418925149439546,6.453838240028606,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.1400000000000008,-1.1106218537520536,0.04979688542534867,6.505226576472031,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.1500000000000008,-1.1092969047718066,0.051284365953115064,6.55975962463134,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.1600000000000008,-1.1074865427200677,0.052713972586516195,6.61086781840677,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.1700000000000008,-1.1059801700944203,0.0542646376421477,6.664965647271592,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.1800000000000008,-1.1048633974010633,0.055932512119988204,6.722029428193311,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.1900000000000008,-1.1020937517677012,0.057670395123858034,6.782012780020204,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.2000000000000008,-1.102775535596983,0.05953999123905864,6.844913584018481,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.2100000000000009,-1.1026870599558367,0.061339928718125436,6.903887047810576,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.2200000000000009,-1.1028547060021834,0.06324594693271648,6.965529234515328,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.2300000000000009,-1.102322615719566,0.06507844363991316,7.023305964234905,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.2400000000000009,-1.1011397308915578,0.0668395520944085,7.077406635137617,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.2500000000000009,-1.099354462054188,0.06853163038697695,7.128013137527143,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.260000000000001,-1.097014789046896,0.0701571399291803,7.175300474287512,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.270000000000001,-1.0941682305694476,0.07171856945588514,7.219437265924346,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.280000000000001,-1.0915483881231804,0.07339174548094908,7.266728555613781,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.290000000000001,-1.0897002862102392,0.07517462348566473,7.3174914174620875,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.300000000000001,-1.0873757648972764,0.07688648211000021,7.364971340148683,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.310000000000001,-1.0856579779155215,0.07871229184083237,7.4157835893570745,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.320000000000001,-1.0846728050926902,0.0806520292645925,7.469899070229217,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.330000000000001,-1.0831170467900468,0.08251837849819497,7.520531724776938,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.340000000000001,-1.0820397013925267,0.08450637595022799,7.574272489131044,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.350000000000001,-1.081599219059634,0.08661603267729934,7.63113224267876,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.360000000000001,-1.080520064932815,0.08864906161039024,7.684347733811601,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.370000000000001,-1.0797987801321491,0.09081391389047683,7.740471084815403,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.380000000000001,-1.079612615232329,0.09310947545791773,7.799542177505547,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.390000000000001,-1.0798814706633466,0.09553975221412639,7.861377131103323,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.400000000000001,-1.0794057162933028,0.09788565810231765,7.919274874826446,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.410000000000001,-1.0782454727963717,0.10014794965842402,7.973439543046268,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.420000000000001,-1.0771623448913648,0.1025672436058536,8.03020648197229,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.430000000000001,-1.0765205580192492,0.10513198147959457,8.089817606722141,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.440000000000001,-1.0762487958991762,0.10784604380381198,8.152093479803431,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.450000000000001,-1.075295253616927,0.11046207856609666,8.210439566539131,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.460000000000001,-1.0744898159886804,0.11324811312957188,8.271274421124922,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.470000000000001,-1.0739942662816997,0.11619191843497331,8.334651240331052,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.480000000000001,-1.0728397685695967,0.11902625810817596,8.394053531511023,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.490000000000001,-1.072298031893135,0.12198434327648425,8.456010075788157,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.500000000000001,-1.0725944965021845,0.1250551382405384,8.520775380600584,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.5100000000000011,-1.0721128099896713,0.12801104639883149,8.581441256588922,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.5200000000000011,-1.0720396670697354,0.13109650223560743,8.64468100735543,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.5300000000000011,-1.0712154755840282,0.13406588765471308,8.703887141027451,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.5400000000000011,-1.0708305919572072,0.137166953504843,8.76573133981048,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.5500000000000012,-1.0711477872683943,0.1403925681173462,8.830292762141292,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.5600000000000012,-1.072085046198299,0.14374668553588424,8.89740247244557,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.5700000000000012,-1.0722033318946675,0.1469784590170982,8.960647181539095,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.5800000000000012,-1.0714678642850166,0.15009528326207847,9.019772294631295,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.5900000000000012,-1.0707492048243268,0.1533685577577749,9.081185439744218,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.6000000000000012,-1.0693142893883725,0.15652106301131288,9.138624783901792,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.6100000000000012,-1.068260902121352,0.15982813718452726,9.19869174518461,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.6200000000000012,-1.0665365093285892,0.16301252668892285,9.254868218208507,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.6300000000000012,-1.0642299546576446,0.16607440885828756,9.307572470354074,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.6400000000000012,-1.0622154316333636,0.16930616955889277,9.363009120169767,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.6500000000000012,-1.0608177464770385,0.17269920993142132,9.421364309288531,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.6600000000000013,-1.0588146576618607,0.17596604106738145,9.475953647403845,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
1.6700000000000013,-1.0572044259561288,0.1794113943352495,9.533298617808429,0.0,0.0,0.0,-2.0,4.0,45.5,0.0
