X	Y	Z	Ins3
-0.999999678612391	0.0	0.9933330146239547	0
-0.9999997428899128	0.0	0.9946664116991638	0
-0.9999997943119302	0.0	0.9957331293593311	0
-0.9999998354495441	0.0	0.9965865034874649	0
-0.9999998683596352	0.0	0.997269202789972	0
6.6738355736189465	-1.0099265944847882	13.393231330641273	40
9.814660040120852	-1.5612027118329044	22.12480884488944	40
9.073529370231661	-1.708084254380853	26.09752282637288	40
8.159933761328595	-0.8301082438432481	29.296550764952055	40
6.518423364375874	0.3941663697862463	31.796379835007897	40
12.8438222719771	-1.8407912955056234	46.057946403487335	80
17.056032659666645	-3.9457820220637174	56.3489537467452	80
17.942440313060178	-3.9298975466189923	61.135520010375174	80
17.53417847020299	-0.5444158005229394	65.08981328598557	80
14.124997082880801	3.717297489746448	68.42821888776727	80
18.36793045834168	-1.3697527101652698	83.61805070898166	120
21.10554355384868	-4.275051235341874	94.07024967502173	120
20.99740852643104	-3.5120596450364103	99.02194084873032	120
19.688937760278083	0.18517023307676395	103.24546276393393	120
15.62566365536105	4.440412263042424	106.97022518421004	120
20.540309087702113	-0.7206556175395926	122.53905038702683	160
24.017187586704956	-3.641587459928459	133.86153454646401	160
23.724737969165275	-2.9184741797075207	139.04397396333079	160
22.122200694817806	0.6959685183189457	143.464483008698	160
17.746772444577164	4.851489781865953	147.3698814362219	160
21.47775478268873	-0.3870918760465072	162.90942082919702	200
24.22410423054338	-3.360842528912196	173.93092082612625	200
23.50790467161532	-2.683173759489672	178.80176022651065	200
21.689877375797845	0.8869362929043736	182.99347312517963	200
17.236219766425535	5.001698971320131	186.77342568526495	200
21.035115012970657	-0.2661699461986	202.38915479091236	240
23.272126224690187	-3.261818135832034	213.1002786066547	240
22.685108415477334	-2.602288256183495	218.140775914562	240
20.99951919858497	0.9516164686723259	222.51908270411954	240
16.63795704485763	5.052412551186741	226.3903608464708	240
-0.9999999987526946	-2.941472412152484e-10	0.7603289415782963	0
-0.9999999990021556	-2.353177929721987e-10	0.8082631532626371	0
-0.9999999992017244	-1.8825423437775896e-10	0.8466105226101097	0
-0.9999999993613795	-1.5060338750220717e-10	0.8772884180880878	0
-0.9999999994891036	-1.2048271000176573e-10	0.9018307344704702	0
6.642783707442955	-1.0083884211289298	13.338020719524607	40
9.76406065854825	-1.5550375722683687	22.09996477047018	40
9.012429657906383	-1.7015754968859604	26.09309113195853	40
8.095040894366445	-0.8240040121367521	29.30295818963834	40
6.453967724989054	0.4005554992014727	31.80591780163606	40
12.787778976718995	-1.8293168307954963	46.07443499626136	80
17.006284103177983	-3.9330820808992337	56.372783781142395	80
17.898194225769956	-3.918796889091416	61.16349016623952	80
17.49549747380779	-0.5356880658028724	65.11671394898141	80
14.091604929004994	3.72375550721817	68.4501328444512	80
18.34097003667927	-1.363963725998603	83.63641864660403	120
21.083707929049048	-4.270100435076161	94.08805540529455	120
20.979869388435834	-3.508082939546001	99.03843210955597	120
19.67489338644108	0.18834820913193706	103.2593314542462	120
15.614337034339222	4.44300329866995	106.98068303162765	120
20.530449866846208	-0.7185044389090676	122.5485116128294	160
24.008233602304877	-3.6398638102524457	133.87035458833486	160
23.716580828939886	-2.91711191174994	139.05172666108868	160
22.114801530670015	0.6970846342367558	143.47067740994163	160
17.740097937752623	4.852421587193187	147.37431874838722	160
21.472252197577987	-0.38635146330094994	162.91330615204737	200
24.219627436062375	-3.360261132082532	173.93447100827774	200
23.504287113545306	-2.682714601986593	178.80491939158705	200
21.68694311010257	0.8873165207115243	182.99611656300002	200
17.233813499247482	5.002018648387416	186.77549717122733	200
21.033167914902407	-0.26591983389006213	202.3908262315588	240
23.27056150798651	-3.2616230683282006	213.10170934461766	240
22.683861042231605	-2.6021341183134625	218.14198857771285	240
20.998483546334146	0.9517446506243323	222.5199908676568	240
16.637119242296087	5.052520593333522	226.3910470040188	240
-0.999999998880727	-2.9399145657947403e-10	0.7602344238991458	0
-0.9999999991045816	-2.351931652635792e-10	0.8081875391193166	0
-0.9999999992836652	-1.8815453221086338e-10	0.8465500312954534	0
-0.9999999994269322	-1.505236257686907e-10	0.8772400250363628	0
-0.9999999995415457	-1.2041890061495256e-10	0.9017920200290903	0
6.642770224538604	-1.0083878521105833	13.337998387626822	40
9.764038807676231	-1.5550350653330738	22.099954804289695	40
9.012403389665067	-1.7015728087864175	26.093089482871033	40
8.09501311685931	-0.8240014791880876	29.30296094164235	40
6.453940274782073	0.400558142447889	31.805921777824167	40
12.787755078226503	-1.8293120299119658	46.07444191477076	80
17.006262879748665	-3.933076770433754	56.372793805272686	80
17.898175352002294	-3.918792283254054	61.163501958075	80
17.495481001843192	-0.5356844803393961	65.11672531525525	80
14.091590748206501	3.7237581396362223	68.45014211891034	80
18.34095857832765	-1.3639613366122014	83.63642641478977	120
21.083698640439977	-4.270098384439972	94.08806294242531	120
20.979861926719163	-3.5080813024098383	99.03843910326933	120
19.674887412034565	0.18834949801437606	103.25933734536206	120
15.61433220385841	4.443004348771496	106.98068748063687	120
20.530445651106138	-0.7185035469828929	122.54851561144552	160
24.008229732803592	-3.6398631145917575	133.87035831693814	160
23.716577353922148	-2.9171113768457024	139.05172994094548	160
22.114798386969824	0.6970850735820466	143.47068003628848	160
17.740095100464377	4.85242195727258	147.37432063397952	160
21.472249760009177	-0.3863510702713917	162.913307798172	200
24.219625483215683	-3.3602607771097905	173.93447250919755	200
23.50428571673253	-2.682714341010564	178.80492071903788	200
21.68694197414757	0.8873166418065925	182.9961176686283	200
17.233812511975287	5.002018747784049	186.77549804144786	200
21.033166392531513	-0.26591969378374714	202.3908269974181	240
23.2705606057028	-3.26162297635536	213.10170998007638	240
22.683860466949817	-2.6021341608507	218.14198910926737	240
20.998483022229337	0.9517445345390874	222.5199912711863	240
16.637118876984335	5.05252048689561	226.39104730851227	240
-0.999999998880064	-2.941277056738394e-10	0.7602343855592798	0
-0.9999999991040511	-2.353021645390715e-10	0.8081875084474239	0
-0.9999999992832409	-1.882417316312572e-10	0.8465500067579392	0
-0.9999999994265927	-1.5059338530500577e-10	0.8772400054063514	0
-0.999999999541274	-1.204747082440046e-10	0.9017920043250811	0
6.642770219067311	-1.0083878521056955	13.337998378675243	40
9.764038798871717	-1.5550350646114919	22.099954800082603	40
9.012403378711648	-1.7015728080077166	26.09308948204543	40
8.095013105367201	-0.8240014785857903	29.30296094264972	40
6.453940263376383	0.4005581431532981	31.805921779372767	40
12.787755069396063	-1.829312031678734	46.07444191707056	80
17.00626287415782	-3.9330767711238783	56.37279380784246	80
17.898175352730156	-3.918792284418783	61.163501961231475	80
17.49548100298935	-0.5356844793850191	65.11672531849041	80
14.091590748126585	3.7237581398452897	68.45014212189605	80
18.340958561451963	-1.3639613496956478	83.63642642386209	120
21.08369864250074	-4.270098406126536	94.08806294616312	120
20.979861928715085	-3.5080813084758597	99.03843910705608	120
19.674887416862354	0.18834950040629428	103.25933734876985	120
15.614332217334848	4.443004351925389	106.98068748246166	120
20.53044572664321	-0.7185035278044314	122.54851560482872	160
24.008229814104165	-3.639863049550106	133.8703583084048	160
23.716577413146275	-2.9171113078838258	139.05172993176376	160
22.114798441153585	0.6970851408950707	143.4706800258865	160
17.740095134925777	4.852422014268289	147.37432062507364	160
21.47224998620933	-0.3863511426433419	162.91330777722143	200
24.219625617788296	-3.360260897092476	173.93447249282715	200
23.50428565046134	-2.682714380812231	178.80492071269768	200
21.68694190234565	0.8873166638963674	182.99611766729043	200
17.233812484068146	5.002018773324513	186.7754980368103	200
21.033167018409547	-0.26591919360405925	202.39082692161998	240
23.270560759239398	-3.2616226330635705	213.1017099473941	240
22.683860678622825	-2.6021337215481255	218.14198908067684	240
20.998483214049966	0.9517448471484173	222.5199912365435	240
16.637118960517295	5.052520743079107	226.3910472800125	240
-0.9999999988815327	-2.9387193285084164e-10	0.7602343855422321	0
-0.9999999991052261	-2.350975462806733e-10	0.8081875084337857	0
-0.9999999992841808	-1.8807803702453863e-10	0.8465500067470286	0
-0.9999999994273446	-1.504624296196309e-10	0.8772400053976229	0
-0.9999999995418757	-1.2036994369570472e-10	0.9017920043180984	0
6.642770219064888	-1.0083878517631055	13.337998378625095	40
9.764038798887123	-1.5550350641004314	22.099954800056206	40
9.012403378798549	-1.701572807392078	26.093089482040043	40
8.09501310540583	-0.8240014778758507	29.302960942627816	40
6.453940263462391	0.4005581438230641	31.805921779318453	40
12.78775507075587	-1.8293120306874957	46.074441916851775	80
17.006262874653597	-3.9330767701741802	56.372793807861406	80
17.89817535689772	-3.9187922837729707	61.16350196109916	80
17.495481005425837	-0.5356844797910374	65.11672531817382	80
14.091590751754893	3.723758139965638	68.45014212153802	80
18.340958595706205	-1.3639613848106626	83.6364264158998	120
21.083698652113494	-4.2700984279748475	94.08806294171406	120
20.979861916677432	-3.5080813322885382	99.03843910418138	120
19.674887405340893	0.18834948903161397	103.25933734841408	120
15.61433221320661	4.443004340720847	106.98068748217408	120
20.53044573907464	-0.718503508414182	122.54851559842325	160
24.008229837846503	-3.6398630318065157	133.87035830182646	160
23.71657738073264	-2.917111327406602	139.05172992726472	160
